slot fo fo_sd kf mlp
2 2.80362 1.43155 2.28703 1.89860
3 1.85179 1.00634 1.47165 1.04904
4 1.10040 0.34158 1.09455 0.87000
5 0.82687 0.22386 0.77393 0.73881
6 0.70978 0.26150 0.63519 0.72142
7 0.63464 0.24217 0.52246 0.67927
8 0.54550 0.22270 0.43814 0.65892
9 0.49609 0.20312 0.36352 0.65394
10 0.42079 0.17334 0.30637 0.64426
11 0.38536 0.15747 0.27570 0.64221
12 0.35877 0.14844 0.24442 0.61661
13 0.33549 0.14428 0.21975 0.60209
14 0.31665 0.14641 0.20514 0.58476
15 0.30047 0.13501 0.19173 0.55473
16 0.28172 0.12720 0.18134 0.51849
17 0.27063 0.12076 0.17177 0.48357
18 0.26306 0.11681 0.16521 0.45732
19 0.26043 0.11814 0.15911 0.42880
20 0.25389 0.11395 0.15087 0.41503
21 0.23947 0.10508 0.14220 0.37813
22 0.23196 0.10658 0.13258 0.34822
23 0.21928 0.10823 0.12353 0.33254
24 0.21280 0.11741 0.11342 0.31689
25 0.20117 0.12838 0.10926 0.29666
26 0.18543 0.09916 0.10244 0.27985
27 0.18688 0.11375 0.09923 0.28073
28 0.20280 0.11143 0.12985 0.28970
36 0.20118 0.10523 0.12749 0.32594
37 0.19291 0.11049 0.09413 0.21277
38 0.18073 0.11646 0.08189 0.18818
39 0.16391 0.09951 0.07546 0.16428
40 0.15422 0.10177 0.07412 0.14528
41 0.14467 0.09463 0.06908 0.14337
42 0.13634 0.07736 0.06781 0.13734
43 0.13410 0.08211 0.06590 0.13249
44 0.13084 0.07594 0.06540 0.12622
45 0.11964 0.06341 0.06290 0.12059
46 0.11019 0.05138 0.06082 0.11894
47 0.10696 0.04698 0.06281 0.12142
48 0.10302 0.04128 0.06013 0.12567
49 0.09789 0.04184 0.06008 0.11174
50 0.09736 0.04482 0.05769 0.12320
51 0.09288 0.04376 0.05769 0.12138
52 0.09129 0.04330 0.05722 0.10692
53 0.08904 0.04207 0.05663 0.10194
54 0.08782 0.04166 0.05211 0.09646
55 0.08592 0.03964 0.05073 0.10167
56 0.08267 0.04021 0.05195 0.09493
57 0.08078 0.03888 0.04940 0.09758
58 0.07845 0.03566 0.04916 0.10176
59 0.07601 0.03530 0.04767 0.09193
60 0.07785 0.03935 0.05119 0.09468
61 0.07608 0.03834 0.04857 0.09105
62 0.08690 0.04450 0.05232 0.11175
70 0.07577 0.03370 0.06580 0.11296
71 0.06947 0.02871 0.05061 0.10622
72 0.06566 0.02197 0.04646 0.08554
73 0.06492 0.02192 0.04609 0.08340
74 0.06371 0.02155 0.04406 0.08199
75 0.06492 0.02301 0.04429 0.08016
76 0.06410 0.02184 0.04533 0.08052
77 0.06394 0.02161 0.04293 0.08034
