x y yfit
-2.0000 -1.97251 -1.77719
-1.9799 -1.97181 -1.78148
-1.9598 -1.97114 -1.78578
-1.9397 -1.97047 -1.79007
-1.9196 -1.96982 -1.79437
-1.8995 -1.96918 -1.79866
-1.8794 -1.96856 -1.80296
-1.8593 -1.96796 -1.80725
-1.8392 -1.96737 -1.81155
-1.8191 -1.96680 -1.81584
-1.7990 -1.96625 -1.82014
-1.7789 -1.96571 -1.82443
-1.7588 -1.96519 -1.82873
-1.7387 -1.96469 -1.83302
-1.7186 -1.96421 -1.83732
-1.6985 -1.96374 -1.84161
-1.6784 -1.96330 -1.84591
-1.6583 -1.96288 -1.85020
-1.6382 -1.96248 -1.85450
-1.6181 -1.96210 -1.85879
-1.5980 -1.96174 -1.86309
-1.5779 -1.96140 -1.86738
-1.5578 -1.96109 -1.87167
-1.5377 -1.96080 -1.87597
-1.5176 -1.96054 -1.88026
-1.4975 -1.96030 -1.88456
-1.4774 -1.96009 -1.88885
-1.4573 -1.95990 -1.89315
-1.4372 -1.95975 -1.89744
-1.4171 -1.95962 -1.90174
-1.3970 -1.95951 -1.90603
-1.3769 -1.95944 -1.91033
-1.3568 -1.95940 -1.91462
-1.3367 -1.95939 -1.91892
-1.3166 -1.95940 -1.92321
-1.2965 -1.95946 -1.92751
-1.2764 -1.95954 -1.93180
-1.2563 -1.95966 -1.93610
-1.2362 -1.95981 -1.94039
-1.2161 -1.96000 -1.94469
-1.1960 -1.96023 -1.94898
-1.1759 -1.96049 -1.95328
-1.1558 -1.96079 -1.95757
-1.1357 -1.96113 -1.96187
-1.1156 -1.96151 -1.96616
-1.0955 -1.96194 -1.97045
-1.0754 -1.96241 -1.97475
-1.0553 -1.96293 -1.97904
-1.0352 -1.96350 -1.98334
-1.0151 -1.96412 -1.98763
-0.9950 -1.96479 -1.99193
-0.9749 -1.96552 -1.99622
-0.9548 -1.96630 -2.00052
-0.9347 -1.96714 -2.00481
-0.9146 -1.96805 -2.00911
-0.8945 -1.96901 -2.01340
-0.8744 -1.97003 -2.01770
-0.8543 -1.97113 -2.02199
-0.8342 -1.97228 -2.02629
-0.8141 -1.97351 -2.03058
-0.7940 -1.97481 -2.03488
-0.7739 -1.97618 -2.03917
-0.7538 -1.97762 -2.04347
-0.7337 -1.97913 -2.04776
-0.7136 -1.98073 -2.05206
-0.6935 -1.98240 -2.05635
-0.6734 -1.98415 -2.06065
-0.6533 -1.98599 -2.06494
-0.6332 -1.98790 -2.06923
-0.6131 -1.98991 -2.07353
-0.5930 -1.99199 -2.07782
-0.5729 -1.99417 -2.08212
-0.5528 -1.99644 -2.08641
-0.5327 -1.99880 -2.09071
-0.5126 -2.00125 -2.09500
-0.4925 -2.00379 -2.09930
-0.4724 -2.00643 -2.10359
-0.4523 -2.00917 -2.10789
-0.4322 -2.01201 -2.11218
-0.4121 -2.01494 -2.11648
-0.3920 -2.01798 -2.12077
-0.3719 -2.02112 -2.12507
-0.3518 -2.02436 -2.12936
-0.3317 -2.02770 -2.13366
-0.3116 -2.03113 -2.13795
-0.2915 -2.03467 -2.14225
-0.2714 -2.03830 -2.14654
-0.2513 -2.04202 -2.15084
-0.2312 -2.04584 -2.15513
-0.2111 -2.04975 -2.15943
-0.1910 -2.05375 -2.16372
-0.1709 -2.05784 -2.16801
-0.1508 -2.06201 -2.17231
-0.1307 -2.06628 -2.17660
-0.1106 -2.07062 -2.18090
-0.0905 -2.07506 -2.18519
-0.0704 -2.07957 -2.18949
-0.0503 -2.08416 -2.19378
-0.0302 -2.08883 -2.19808
-0.0101 -2.09358 -2.20237
0.0101 -2.09840 -2.20667
0.0302 -2.10330 -2.21096
0.0503 -2.10827 -2.21526
0.0704 -2.11331 -2.21955
0.0905 -2.11842 -2.22385
0.1106 -2.12359 -2.22814
0.1307 -2.12883 -2.23244
0.1508 -2.13413 -2.23673
0.1709 -2.13949 -2.24103
0.1910 -2.14491 -2.24532
0.2111 -2.15038 -2.24962
0.2312 -2.15592 -2.25391
0.2513 -2.16150 -2.25821
0.2714 -2.16713 -2.26250
0.2915 -2.17281 -2.26679
0.3116 -2.17854 -2.27109
0.3317 -2.18431 -2.27538
0.3518 -2.19012 -2.27968
0.3719 -2.19598 -2.28397
0.3920 -2.20187 -2.28827
0.4121 -2.20779 -2.29256
0.4322 -2.21375 -2.29686
0.4523 -2.21974 -2.30115
0.4724 -2.22577 -2.30545
0.4925 -2.23184 -2.30974
0.5126 -2.23795 -2.31404
