x y yfit
-2.0000 -3.60432 -2.59880
-1.9799 -3.60759 -2.58965
-1.9598 -3.60556 -2.58050
-1.9397 -3.59842 -2.57135
-1.9196 -3.58636 -2.56219
-1.8995 -3.56960 -2.55304
-1.8794 -3.54832 -2.54389
-1.8593 -3.52272 -2.53474
-1.8392 -3.49300 -2.52559
-1.8191 -3.45936 -2.51644
-1.7990 -3.42200 -2.50728
-1.7789 -3.38112 -2.49813
-1.7588 -3.33690 -2.48898
-1.7387 -3.28956 -2.47983
-1.7186 -3.23928 -2.47068
-1.6985 -3.18628 -2.46152
-1.6784 -3.13073 -2.45237
-1.6583 -3.07285 -2.44322
-1.6382 -3.01283 -2.43407
-1.6181 -2.95086 -2.42492
-1.5980 -2.88715 -2.41577
-1.5779 -2.82190 -2.40661
-1.5578 -2.75529 -2.39746
-1.5377 -2.68754 -2.38831
-1.5176 -2.61883 -2.37916
-1.4975 -2.54937 -2.37001
-1.4774 -2.47935 -2.36086
-1.4573 -2.40897 -2.35170
-1.4372 -2.33843 -2.34255
-1.4171 -2.26792 -2.33340
-1.3970 -2.19765 -2.32425
-1.3769 -2.12782 -2.31510
-1.3568 -2.05861 -2.30594
-1.3367 -1.99023 -2.29679
-1.3166 -1.92288 -2.28764
-1.2965 -1.85675 -2.27849
-1.2764 -1.79204 -2.26934
-1.2563 -1.72895 -2.26019
-1.2362 -1.66768 -2.25103
-1.2161 -1.60843 -2.24188
-1.1960 -1.55139 -2.23273
-1.1759 -1.49670 -2.22358
-1.1558 -1.44438 -2.21443
-1.1357 -1.39442 -2.20528
-1.1156 -1.34682 -2.19612
-1.0955 -1.30158 -2.18697
-1.0754 -1.25870 -2.17782
-1.0553 -1.21817 -2.16867
-1.0352 -1.17998 -2.15952
-1.0151 -1.14414 -2.15036
-0.9950 -1.11065 -2.14121
-0.9749 -1.07949 -2.13206
-0.9548 -1.05066 -2.12291
-0.9347 -1.02417 -2.11376
-0.9146 -1.00001 -2.10461
-0.8945 -0.97817 -2.09545
-0.8744 -0.95866 -2.08630
-0.8543 -0.94146 -2.07715
-0.8342 -0.92658 -2.06800
-0.8141 -0.91402 -2.05885
-0.7940 -0.90376 -2.04970
-0.7739 -0.89581 -2.04054
-0.7538 -0.89016 -2.03139
-0.7337 -0.88681 -2.02224
-0.7136 -0.88576 -2.01309
-0.6935 -0.88700 -2.00394
-0.6734 -0.89054 -1.99478
-0.6533 -0.89636 -1.98563
-0.6332 -0.90446 -1.97648
-0.6131 -0.91484 -1.96733
-0.5930 -0.92750 -1.95818
-0.5729 -0.94244 -1.94903
-0.5528 -0.95965 -1.93987
-0.5327 -0.97912 -1.93072
-0.5126 -1.00086 -1.92157
-0.4925 -1.02486 -1.91242
-0.4724 -1.05112 -1.90327
-0.4523 -1.07963 -1.89411
-0.4322 -1.11040 -1.88496
-0.4121 -1.14341 -1.87581
-0.3920 -1.17867 -1.86666
-0.3719 -1.21610 -1.85751
-0.3518 -1.25555 -1.84836
-0.3317 -1.29685 -1.83920
-0.3116 -1.33985 -1.83005
-0.2915 -1.38438 -1.82090
-0.2714 -1.43028 -1.81175
-0.2513 -1.47739 -1.80260
-0.2312 -1.52555 -1.79345
-0.2111 -1.57460 -1.78429
-0.1910 -1.62437 -1.77514
-0.1709 -1.67470 -1.76599
-0.1508 -1.72544 -1.75684
-0.1307 -1.77641 -1.74769
-0.1106 -1.82747 -1.73853
-0.0905 -1.87844 -1.72938
-0.0704 -1.92916 -1.72023
-0.0503 -1.97948 -1.71108
-0.0302 -2.02924 -1.70193
-0.0101 -2.07826 -1.69278
0.0101 -2.12639 -1.68362
0.0302 -2.17347 -1.67447
0.0503 -2.21934 -1.66532
0.0704 -2.26383 -1.65617
0.0905 -2.30679 -1.64702
0.1106 -2.34805 -1.63786
0.1307 -2.38744 -1.62871
0.1508 -2.42482 -1.61956
0.1709 -2.46001 -1.61041
0.1910 -2.49286 -1.60126
0.2111 -2.52321 -1.59211
0.2312 -2.55088 -1.58295
0.2513 -2.57573 -1.57380
0.2714 -2.59759 -1.56465
0.2915 -2.61629 -1.55550
0.3116 -2.63169 -1.54635
0.3317 -2.64360 -1.53720
0.3518 -2.65189 -1.52804
0.3719 -2.65637 -1.51889
0.3920 -2.65690 -1.50974
0.4121 -2.65331 -1.50059
0.4322 -2.64565 -1.49144
0.4523 -2.63407 -1.48228
0.4724 -2.61873 -1.47313
0.4925 -2.59982 -1.46398
0.5126 -2.57748 -1.45483
0.5327 -2.55190 -1.44568
0.5528 -2.52324 -1.43653
0.5729 -2.49166 -1.42737
0.5930 -2.45733 -1.41822
0.6131 -2.42042 -1.40907
0.6332 -2.38109 -1.39992
0.6533 -2.33952 -1.39077
0.6734 -2.29587 -1.38162
0.6935 -2.25031 -1.37246
0.7136 -2.20300 -1.36331
0.7337 -2.15411 -1.35416
0.7538 -2.10381 -1.34501
0.7739 -2.05227 -1.33586
0.7940 -1.99965 -1.32670
0.8141 -1.94612 -1.31755
0.8342 -1.89184 -1.30840
0.8543 -1.83699 -1.29925
0.8744 -1.78173 -1.29010
