x y yfit
-2.0000 -0.77483 -0.84266
-1.9799 -0.78211 -0.85570
-1.9598 -0.79054 -0.86873
-1.9397 -0.80009 -0.88176
-1.9196 -0.81070 -0.89480
-1.8995 -0.82231 -0.90783
-1.8794 -0.83487 -0.92086
-1.8593 -0.84834 -0.93390
-1.8392 -0.86267 -0.94693
-1.8191 -0.87779 -0.95996
-1.7990 -0.89366 -0.97300
-1.7789 -0.91024 -0.98603
-1.7588 -0.92746 -0.99907
-1.7387 -0.94528 -1.01210
-1.7186 -0.96365 -1.02513
-1.6985 -0.98251 -1.03817
-1.6784 -1.00182 -1.05120
-1.6583 -1.02152 -1.06423
-1.6382 -1.04156 -1.07727
-1.6181 -1.06190 -1.09030
-1.5980 -1.08248 -1.10334
-1.5779 -1.10326 -1.11637
-1.5578 -1.12417 -1.12940
-1.5377 -1.14517 -1.14244
-1.5176 -1.16622 -1.15547
-1.4975 -1.18725 -1.16850
-1.4774 -1.20822 -1.18154
-1.4573 -1.22908 -1.19457
-1.4372 -1.24978 -1.20760
-1.4171 -1.27027 -1.22064
-1.3970 -1.29049 -1.23367
-1.3769 -1.31041 -1.24671
-1.3568 -1.32996 -1.25974
-1.3367 -1.34909 -1.27277
-1.3166 -1.36777 -1.28581
-1.2965 -1.38593 -1.29884
-1.2764 -1.40352 -1.31187
-1.2563 -1.42051 -1.32491
-1.2362 -1.43683 -1.33794
-1.2161 -1.45243 -1.35098
-1.1960 -1.46728 -1.36401
-1.1759 -1.48133 -1.37704
-1.1558 -1.49462 -1.39008
-1.1357 -1.50719 -1.40311
-1.1156 -1.51907 -1.41614
-1.0955 -1.53030 -1.42918
-1.0754 -1.54091 -1.44221
-1.0553 -1.55094 -1.45524
-1.0352 -1.56043 -1.46828
-1.0151 -1.56942 -1.48131
-0.9950 -1.57793 -1.49435
-0.9749 -1.58600 -1.50738
-0.9548 -1.59368 -1.52041
-0.9347 -1.60100 -1.53345
-0.9146 -1.60799 -1.54648
-0.8945 -1.61469 -1.55951
-0.8744 -1.62113 -1.57255
-0.8543 -1.62736 -1.58558
-0.8342 -1.63340 -1.59862
-0.8141 -1.63930 -1.61165
-0.7940 -1.64509 -1.62468
-0.7739 -1.65081 -1.63772
-0.7538 -1.65649 -1.65075
-0.7337 -1.66217 -1.66378
-0.7136 -1.66788 -1.67682
-0.6935 -1.67366 -1.68985
-0.6734 -1.67955 -1.70288
-0.6533 -1.68558 -1.71592
-0.6332 -1.69179 -1.72895
-0.6131 -1.69821 -1.74199
-0.5930 -1.70488 -1.75502
-0.5729 -1.71183 -1.76805
-0.5528 -1.71911 -1.78109
-0.5327 -1.72674 -1.79412
-0.5126 -1.73476 -1.80715
-0.4925 -1.74321 -1.82019
-0.4724 -1.75212 -1.83322
-0.4523 -1.76153 -1.84625
-0.4322 -1.77147 -1.85929
-0.4121 -1.78198 -1.87232
-0.3920 -1.79309 -1.88536
-0.3719 -1.80481 -1.89839
-0.3518 -1.81713 -1.91142
-0.3317 -1.83001 -1.92446
-0.3116 -1.84343 -1.93749
-0.2915 -1.85736 -1.95052
-0.2714 -1.87180 -1.96356
-0.2513 -1.88670 -1.97659
-0.2312 -1.90204 -1.98963
-0.2111 -1.91781 -2.00266
-0.1910 -1.93397 -2.01569
-0.1709 -1.95050 -2.02873
-0.1508 -1.96738 -2.04176
-0.1307 -1.98458 -2.05479
-0.1106 -2.00207 -2.06783
-0.0905 -2.01984 -2.08086
-0.0704 -2.03785 -2.09389
-0.0503 -2.05608 -2.10693
-0.0302 -2.07450 -2.11996
-0.0101 -2.09310 -2.13300
0.0101 -2.11183 -2.14603
0.0302 -2.13069 -2.15906
0.0503 -2.14963 -2.17210
0.0704 -2.16865 -2.18513
0.0905 -2.18770 -2.19816
0.1106 -2.20677 -2.21120
0.1307 -2.22582 -2.22423
0.1508 -2.24484 -2.23727
0.1709 -2.26379 -2.25030
0.1910 -2.28265 -2.26333
0.2111 -2.30139 -2.27637
0.2312 -2.31998 -2.28940
0.2513 -2.33841 -2.30243
0.2714 -2.35663 -2.31547
0.2915 -2.37463 -2.32850
0.3116 -2.39238 -2.34153
0.3317 -2.40985 -2.35457
0.3518 -2.42701 -2.36760
0.3719 -2.44383 -2.38064
0.3920 -2.46030 -2.39367
0.4121 -2.47637 -2.40670
0.4322 -2.49206 -2.41974
0.4523 -2.50736 -2.43277
0.4724 -2.52229 -2.44580
0.4925 -2.53687 -2.45884
0.5126 -2.55110 -2.47187
0.5327 -2.56499 -2.48491
0.5528 -2.57856 -2.49794
0.5729 -2.59183 -2.51097
0.5930 -2.60479 -2.52401
0.6131 -2.61746 -2.53704
0.6332 -2.62986 -2.55007
0.6533 -2.64199 -2.56311
0.6734 -2.65387 -2.57614
0.6935 -2.66551 -2.58917
0.7136 -2.67691 -2.60221
0.7337 -2.68810 -2.61524
0.7538 -2.69907 -2.62828
0.7739 -2.70984 -2.64131
0.7940 -2.72043 -2.65434
0.8141 -2.73084 -2.66738
0.8342 -2.74109 -2.68041
0.8543 -2.75118 -2.69344
0.8744 -2.76113 -2.70648
0.8945 -2.77095 -2.71951
0.9146 -2.78064 -2.73255
0.9347 -2.79022 -2.74558
0.9548 -2.79970 -2.75861
0.9749 -2.80910 -2.77165
0.9950 -2.81841 -2.78468
1.0151 -2.82766 -2.79771
1.0352 -2.83685 -2.81075
1.0553 -2.84599 -2.82378
1.0754 -2.85510 -2.83681
1.0955 -2.86418 -2.84985
1.1156 -2.87325 -2.86288
1.1357 -2.88232 -2.87592
1.1558 -2.89139 -2.88895
1.1759 -2.90049 -2.90198
1.1960 -2.90961 -2.91502
1.2161 -2.91878 -2.92805
1.2362 -2.92800 -2.94108
1.2563 -2.93728 -2.95412
1.2764 -2.94666 -2.96715
1.2965 -2.95613 -2.98019
1.3166 -2.96571 -2.99322
1.3367 -2.97542 -3.00625
1.3568 -2.98528 -3.01929
1.3769 -2.99529 -3.03232
1.3970 -3.00547 -3.04535
1.4171 -3.01584 -3.05839
1.4372 -3.02641 -3.07142
1.4573 -3.03720 -3.08445
1.4774 -3.04822 -3.09749
1.4975 -3.05949 -3.11052
1.5176 -3.07102 -3.12356
1.5377 -3.08283 -3.13659
1.5578 -3.09493 -3.14962
1.5779 -3.10733 -3.16266
1.5980 -3.12006 -3.17569
1.6181 -3.13312 -3.18872
1.6382 -3.14654 -3.20176
1.6583 -3.16032 -3.21479
1.6784 -3.17449 -3.22783
1.6985 -3.18906 -3.24086
1.7186 -3.20404 -3.25389
1.7387 -3.21944 -3.26693
1.7588 -3.23530 -3.27996
1.7789 -3.25161 -3.29299
1.7990 -3.26840 -3.30603
1.8191 -3.28568 -3.31906
1.8392 -3.30347 -3.33209
1.8593 -3.32178 -3.34513
1.8794 -3.34062 -3.35816
1.8995 -3.36002 -3.37120
1.9196 -3.37999 -3.38423
1.9397 -3.40055 -3.39726
1.9598 -3.42171 -3.41030
1.9799 -3.44348 -3.42333
2.0000 -3.46589 -3.43636
