slot nmse gap
2 2.70735 0.60012
3 1.58421 0.36301
4 1.19731 0.05780
5 1.17923 0.05056
6 1.01300 0.07677
7 0.85151 0.03451
8 0.72804 0.03664
9 1.00188 0.02818
10 1.00770 0.03779
11 1.12437 0.04404
12 0.80608 0.05472
13 0.91354 0.04823
14 0.78771 0.05152
15 0.73676 0.05230
16 0.63088 0.03834
17 0.62450 0.03963
18 0.48146 0.03473
19 0.40926 0.02753
20 0.32564 0.02043
21 0.24292 0.01280
22 0.23201 0.01265
30 0.29739 0.02391
31 0.32562 0.02875
32 0.27000 0.01286
33 0.22695 0.00993
34 0.19611 0.00964
35 0.17902 0.00780
36 0.15804 0.00692
37 0.14217 0.00794
38 0.13043 0.00563
39 0.11984 0.00669
40 0.13068 0.00585
41 0.11294 0.00544
42 0.11529 0.00552
43 0.11056 0.00561
44 0.10541 0.00467
45 0.10845 0.00494
46 0.10600 0.00471
47 0.11821 0.00503
48 0.10661 0.00438
49 0.10272 0.00445
50 0.10120 0.00536
58 0.11573 0.00966
59 0.09974 0.00443
60 0.10801 0.00476
61 0.10810 0.00469
62 0.08656 0.00398
63 0.09874 0.00472
64 0.08751 0.00384
65 0.08926 0.00379
66 0.08824 0.00389
67 0.08436 0.00369
68 0.08018 0.00384
69 0.08023 0.00426
70 0.07348 0.00328
71 0.07259 0.00332
72 0.07380 0.00347
73 0.07088 0.00301
74 0.07037 0.00339
75 0.06903 0.00317
76 0.06820 0.00345
77 0.06991 0.00298
78 0.07010 0.00297
86 0.06829 0.00360
87 0.07453 0.00310
88 0.07729 0.00292
89 0.07973 0.00307
90 0.07688 0.00317
91 0.07874 0.00312
92 0.07064 0.00303
93 0.07577 0.00288
94 0.08289 0.00311
95 0.08866 0.00334
96 0.07425 0.00319
97 0.08009 0.00350
98 0.07704 0.00345
99 0.08021 0.00348
100 0.08457 0.00381
101 0.06887 0.00326
102 0.07008 0.00346
103 0.06668 0.00333
104 0.07344 0.00402
105 0.07032 0.00356
106 0.07318 0.00388
