slot nmse gap
2 1.23310 0.05789
3 1.85406 0.06466
4 1.26431 0.04991
5 0.87893 0.02533
6 0.84583 0.05434
7 0.59845 0.06486
8 0.59142 0.06310
9 0.79966 0.10648
10 0.76200 0.09372
11 0.76523 0.13905
12 0.64551 0.08987
13 0.55375 0.07695
14 0.51754 0.06548
15 0.45326 0.06395
16 0.40823 0.05806
17 0.33782 0.03303
18 0.31992 0.04036
19 0.25916 0.01903
20 0.24975 0.01704
21 0.25443 0.01779
22 0.23993 0.01651
30 0.24395 0.02846
31 0.20976 0.01542
32 0.19615 0.01237
33 0.16885 0.01091
34 0.14826 0.01042
35 0.15612 0.01032
36 0.13657 0.00970
37 0.12724 0.00914
38 0.12163 0.00854
39 0.11251 0.00845
40 0.12304 0.00938
41 0.10389 0.00738
42 0.10267 0.00711
43 0.09656 0.00743
44 0.09221 0.00630
45 0.09193 0.00629
46 0.08920 0.00598
47 0.09460 0.00576
48 0.08481 0.00537
49 0.08570 0.00529
50 0.08641 0.00593
58 0.08811 0.00676
59 0.09316 0.00602
60 0.08718 0.00553
61 0.08390 0.00462
62 0.07760 0.00497
63 0.08441 0.00473
64 0.07003 0.00422
65 0.07319 0.00433
66 0.06706 0.00385
67 0.06550 0.00364
68 0.06239 0.00358
69 0.06241 0.00355
70 0.06156 0.00341
71 0.06014 0.00330
72 0.06125 0.00349
73 0.05818 0.00320
74 0.05819 0.00338
75 0.06010 0.00339
76 0.05565 0.00281
77 0.05972 0.00306
78 0.05725 0.00296
86 0.05893 0.00417
87 0.05877 0.00323
88 0.05859 0.00294
89 0.06577 0.00282
90 0.06272 0.00263
91 0.06924 0.00311
92 0.06650 0.00288
93 0.06930 0.00287
94 0.06689 0.00323
95 0.07092 0.00286
96 0.07247 0.00345
97 0.07977 0.00361
98 0.07588 0.00375
99 0.07113 0.00340
100 0.07616 0.00375
101 0.06175 0.00314
102 0.06555 0.00328
103 0.06225 0.00319
104 0.06723 0.00319
105 0.06110 0.00295
106 0.06206 0.00311
