slot nmse gap
2 2.56103 0.07890
3 1.34622 0.28133
4 0.93063 0.02816
5 0.60566 0.02157
6 0.63945 0.02628
7 0.55159 0.02699
8 0.62571 0.03060
9 0.71624 0.04961
10 0.99937 0.04935
11 1.09515 0.05622
12 1.02395 0.05405
13 0.92437 0.05567
14 0.77890 0.04966
15 0.66909 0.04359
16 0.57484 0.04051
17 0.57601 0.03330
18 0.52211 0.02881
19 0.50544 0.02910
20 0.40387 0.02298
21 0.35619 0.02251
22 0.31970 0.02517
30 0.30333 0.04984
31 0.36209 0.02172
32 0.25096 0.01619
33 0.22771 0.02407
34 0.21093 0.02897
35 0.22140 0.01455
36 0.22388 0.01201
37 0.25488 0.01387
38 0.31115 0.01464
39 0.32870 0.01548
40 0.38406 0.01960
41 0.45111 0.02409
42 0.42066 0.02239
43 0.47854 0.02776
44 0.39232 0.02102
45 0.44776 0.02724
46 0.33118 0.01837
47 0.32048 0.02088
48 0.30530 0.01720
49 0.34948 0.02398
50 0.26043 0.01516
58 0.18845 0.01068
59 0.17849 0.01087
60 0.22428 0.01446
61 0.22567 0.01407
62 0.24582 0.01447
63 0.27809 0.02030
64 0.27582 0.01734
65 0.24014 0.01621
66 0.28160 0.02000
67 0.26845 0.01662
68 0.31868 0.02140
69 0.19148 0.01053
70 0.35098 0.02546
71 0.23850 0.01561
72 0.15855 0.01022
73 0.18266 0.01267
74 0.15392 0.01053
75 0.21628 0.01574
76 0.16955 0.01276
77 0.18119 0.01414
78 0.15247 0.01141
86 0.11833 0.02678
87 0.10990 0.02347
88 0.09968 0.02802
89 0.09820 0.02425
90 0.10105 0.02275
91 0.11890 0.03634
92 0.11553 0.03055
93 0.15362 0.05481
94 0.12981 0.03693
95 0.12997 0.01819
96 0.14985 0.05901
97 0.13874 0.03391
98 0.14730 0.05155
99 0.13607 0.04194
100 0.13504 0.04393
101 0.18771 0.07864
102 0.22018 0.09528
103 0.11130 0.02893
104 0.11829 0.02758
105 0.15234 0.05358
106 0.12659 0.03275
