method,seed,time_s,rule_r2,avg_gap,final_gap,avg_nmse,final_nmse,forgetting,detection_delay,total_bits,final_grid,params
fedkan_opt,0,21.1,0.8759,0.045907136675359714,0.006106501396956394,0.37851471315727414,0.09794692303034325,6.488847761314081,14.528301886792454,5100512.0,5,360
fedkan_opt,1,19.2,0.5503,0.038515145307218134,0.00361324298401128,0.25179714851716595,0.051054496536660686,2.9455319597595166,17.833333333333332,4636896.0,5,360
fedkan_opt,2,19.0,0.8756,0.03826944470463261,0.004789700667164075,0.23550254022696723,0.0691568790177066,3.927476922692526,nan,4530240.0,5,360
fedkan_opt,3,19.0,0.7383,0.024443066280826525,0.0038838864574708546,0.30007293463616524,0.07318071170545527,2.680036220833408,24.294117647058822,4867232.0,5,360
fedkan_opt,4,19.4,0.8753,0.03734159490651373,0.0068630935035378475,0.26129434993007106,0.08738539123452338,3.6607435541928375,nan,4898912.0,5,360
kan_full,0,37.1,0.9088,0.026340426227784812,0.0034292157050078605,0.2792352041504322,0.056857831325912815,3.1722561253032278,nan,9400320.0,5,360
kan_full,1,39.4,0.6431,0.01904926686415258,0.004393843631742513,0.17634475861875556,0.04410705819150649,1.8151959868975764,17.833333333333332,8663040.0,5,360
kan_full,2,18.8,0.6842,0.02081454669626636,0.003445349090982987,0.18693291641764137,0.062330997703003384,1.7310515127528685,nan,8755200.0,5,360
kan_full,3,18.2,0.7416,0.018643241711442455,0.003179616843419924,0.2304192537247116,0.060328155481657895,1.943597488701123,nan,8939520.0,5,360
kan_full,4,18.0,0.7605,0.017606196472541375,0.0026075577787579266,0.19372341113231226,0.03390706953449938,1.6502587698018727,nan,9308160.0,5,360
kan_evolve,0,18.8,0.8314,0.045808406933046254,0.004556205315508767,0.37878907328267086,0.08104316525614581,6.505751519088278,14.528301886792454,5320352.0,7,440
kan_evolve,1,18.1,0.5503,0.038515145307218134,0.00361324298401128,0.25179714851716595,0.051054496536660686,2.9455319597595166,17.833333333333332,4636896.0,5,360
kan_evolve,2,18.0,0.8756,0.03826944470463261,0.004789700667164075,0.23550254022696723,0.0691568790177066,3.927476922692526,nan,4530240.0,5,360
kan_evolve,3,29.1,0.7836,0.02443757300722904,0.010519155713327495,0.25541889990565136,0.13106364936251272,2.576288043863274,35.549019607843135,7223744.0,10,560
kan_evolve,4,19.3,0.8753,0.03734159490651373,0.0068630935035378475,0.26129434993007106,0.08738539123452338,3.6607435541928375,nan,4898912.0,5,360
mlp,0,4.5,,0.030751781161665024,0.013622999357028572,0.24788215779965145,0.13327405191519093,1.5090929639993806,nan,9426432.0,0,361
mlp,1,4.3,,0.024819333226861594,0.014425372372277576,0.26522064292363234,0.14677461783240892,1.1738763364463425,16.37735849056604,8687104.0,0,361
mlp,2,10.7,,0.058223153108122136,0.040396474733177035,0.3228376079796762,0.09226183719766405,1.2010956259110674,15.35897435897436,8779520.0,0,361
mlp,3,10.5,,0.031762765556687764,0.032753276575998365,0.37001648535574805,0.12659146986568634,2.541683839165834,7.324324324324325,8964352.0,0,361
mlp,4,11.0,,0.035408698274969154,0.014424820915774824,0.28053005589621033,0.12256200104613428,1.743097021182712,nan,9334016.0,0,361
mlp_prox,0,14.3,,0.02964842686312885,0.001449153478082512,0.24542040281695984,0.03347344696162436,1.6992989284730102,nan,9426432.0,0,361
mlp_prox,1,8.6,,0.02869225192640326,0.007597303893947677,0.272013151523017,0.08528707884155469,1.197784886216416,18.5625,8687104.0,0,361
mlp_prox,2,7.6,,0.06791483963157273,0.04206312690475079,0.4480208736543685,0.29074031025416847,1.5246219269022594,2.526315789473684,8779520.0,0,361
mlp_prox,3,14.4,,0.02831235263298562,0.011019393561817081,0.39606086628619686,0.0934813895348963,2.604497061432189,7.866666666666666,8964352.0,0,361
mlp_prox,4,13.8,,0.03265129332506442,0.016234732920490307,0.29550204294400356,0.16016275217787238,1.7727067758153006,16.526315789473685,9334016.0,0,361
linear,0,10.1,,0.4394375089423705,0.2813770712932933,4.230163739528138,2.038346768165494,9.689316700658072,0.0,104448.0,0,4
linear,1,10.3,,0.3142046893941649,0.37581319513438755,2.046536397989694,3.242022750528747,1.2394178323143938,6.830188679245283,96256.0,0,4
linear,2,10.8,,0.3273440443744268,0.23897905161560098,1.7167386386956587,1.3719723228525067,1.7489693952680831,25.132075471698112,97280.0,0,4
linear,3,11.0,,0.47267299995478806,0.2858515550765674,6.474607687189182,2.4524489413805473,17.906823100578393,8.358490566037736,99328.0,0,4
linear,4,10.3,,0.39295130012035717,0.3119919925998797,3.089020239647119,2.3471457280647336,6.182934062143672,nan,103424.0,0,4
